a,b,r
ARTICLE XVI: MISCELLANEOUS PROVISIONS,SEC. 16.120. CUSTOMER SERVICE PLAN.,SUBSECTION_OF
ARTICLE XVI: MISCELLANEOUS PROVISIONS,SEC. 16.122. RIGHT TO VOTE ON ANY PROJECT THAT WOULD PLACE 100 ACRES OR MORE OF,SUBSECTION_OF
ARTICLE XVI: MISCELLANEOUS PROVISIONS,SEC. 16.123. CIVILIAN POSITIONS WITHIN THE POLICE DEPARTMENT.,SUBSECTION_OF
ARTICLE XVI: MISCELLANEOUS PROVISIONS,SEC. 16.123-1. PUBLIC EDUCATION ENRICHMENT FUND; PREAMBLE.,SUBSECTION_OF
ARTICLE XVI: MISCELLANEOUS PROVISIONS,SEC. 16.123-2. PUBLIC EDUCATION ENRICHMENT FUND.,SUBSECTION_OF
ARTICLE XVI: MISCELLANEOUS PROVISIONS,"SEC. 16.123-3. ARTS, MUSIC, SPORTS, AND LIBRARY PROGRAMS.",SUBSECTION_OF
ARTICLE XVI: MISCELLANEOUS PROVISIONS,SEC. 16.123-4. UNIVERSAL ACCESS TO EARLY EDUCATION.,SUBSECTION_OF
ARTICLE XVI: MISCELLANEOUS PROVISIONS,SEC. 16.123-5. DIRECT FINANCIAL SUPPORT FOR THE SAN FRANCISCO UNIFIED SCHOOL,SUBSECTION_OF
ARTICLE XVI: MISCELLANEOUS PROVISIONS,SEC. 16.123-6. EXPENDITURE PLANS.,SUBSECTION_OF
ARTICLE XVI: MISCELLANEOUS PROVISIONS,SEC. 16.123-8. ADJUSTMENTS.,SUBSECTION_OF
ARTICLE XVI: MISCELLANEOUS PROVISIONS,SEC. 16.123-9. STATE REDISTRIBUTION OF LOCAL EDUCATION REVENUES.,SUBSECTION_OF
ARTICLE XVI: MISCELLANEOUS PROVISIONS,SEC. 16.123-10. SUNSET.,SUBSECTION_OF
ARTICLE XVI: MISCELLANEOUS PROVISIONS,SEC. 16.124. BOARD OF SUPERVISORS AUTHORIZED TO RESPOND TO CERTAIN ORDERS OR,SUBSECTION_OF
ARTICLE XVI: MISCELLANEOUS PROVISIONS,SEC. 16.125. DOMESTIC PARTNERSHIP.,SUBSECTION_OF
ARTICLE XVI: MISCELLANEOUS PROVISIONS,"SEC. 16.127-1. OUR CHILDREN, OUR FAMILIES COUNCIL; PREAMBLE.",SUBSECTION_OF
ARTICLE XVI: MISCELLANEOUS PROVISIONS,"SEC. 16.127-2. OUR CHILDREN, OUR FAMILIES COUNCIL; CREATION.",SUBSECTION_OF
ARTICLE XVI: MISCELLANEOUS PROVISIONS,"SEC. 16.127-3. OUR CHILDREN, OUR FAMILIES COUNCIL; PURPOSE.",SUBSECTION_OF
ARTICLE XVI: MISCELLANEOUS PROVISIONS,"SEC. 16.127-4. OUR CHILDREN, OUR FAMILIES COUNCIL; COMPOSITION.",SUBSECTION_OF
ARTICLE XVI: MISCELLANEOUS PROVISIONS,"SEC. 16.127-5. OUR CHILDREN, OUR FAMILIES COUNCIL; RESPONSIBILITIES.",SUBSECTION_OF
ARTICLE XVI: MISCELLANEOUS PROVISIONS,"SEC. 16.127-6. OUR CHILDREN, OUR FAMILIES COUNCIL; STAFFING.",SUBSECTION_OF
ARTICLE XVI: MISCELLANEOUS PROVISIONS,"SEC. 16.127-7. OUR CHILDREN, OUR FAMILIES COUNCIL; IMPLEMENTATION.",SUBSECTION_OF
ARTICLE XVI: MISCELLANEOUS PROVISIONS,SEC. 16.128-1. DIGNITY FUND; PREAMBLE.,SUBSECTION_OF
ARTICLE XVI: MISCELLANEOUS PROVISIONS,SEC. 16.128-2. GOALS OF THE DIGNITY FUND.,SUBSECTION_OF
ARTICLE XVI: MISCELLANEOUS PROVISIONS,SEC. 16.128-3. ANNUAL CONTRIBUTIONS TO THE FUND.,SUBSECTION_OF
ARTICLE XVI: MISCELLANEOUS PROVISIONS,SEC. 16.128-4. ELIGIBLE SERVICES.,SUBSECTION_OF
ARTICLE XVI: MISCELLANEOUS PROVISIONS,SEC. 16.128-5. EXCLUDED SERVICES.,SUBSECTION_OF
ARTICLE XVI: MISCELLANEOUS PROVISIONS,SEC. 16.128-6. PLANNING CYCLE.,SUBSECTION_OF
ARTICLE XVI: MISCELLANEOUS PROVISIONS,SEC. 16.128-7. EVALUATION.,SUBSECTION_OF
ARTICLE XVI: MISCELLANEOUS PROVISIONS,SEC. 16.128-8. SELECTION OF CONTRACTORS.,SUBSECTION_OF
ARTICLE XVI: MISCELLANEOUS PROVISIONS,SEC. 16.128-9. IMPLEMENTATION.,SUBSECTION_OF
ARTICLE XVI: MISCELLANEOUS PROVISIONS,SEC. 16.128-10. EFFECT OF PROCEDURAL ERRORS.,SUBSECTION_OF
ARTICLE XVI: MISCELLANEOUS PROVISIONS,SEC. 16.128-11. ADVISORY COMMITTEE.,SUBSECTION_OF
ARTICLE XVI: MISCELLANEOUS PROVISIONS,SEC. 16.128-12. SUNSET.,SUBSECTION_OF
ARTICLE XVI: MISCELLANEOUS PROVISIONS,SEC. 16.128-13. CONFORMING AMENDMENTS.,SUBSECTION_OF
ARTICLE XVI: MISCELLANEOUS PROVISIONS,SEC. 16.129. STREET TREE MAINTENANCE.,SUBSECTION_OF
ARTICLE XVI: MISCELLANEOUS PROVISIONS,SEC. 16.130. PRIVACY FIRST POLICY.,SUBSECTION_OF
ARTICLE XVI: MISCELLANEOUS PROVISIONS,SEC. 16.131. STUDENT SUCCESS FUND.,SUBSECTION_OF
